HexID	DateTime	Latitude	Longitude	Altitude
AB0DC5	2019/07/12 02:03:32.264	19.97282	-155.07374	8000
AB0DC5	2019/07/12 02:03:33.264	19.97310	-155.07467	8000
AB0DC5	2019/07/12 02:03:34.168	19.97328	-155.07557	8000
AB0DC5	2019/07/12 02:03:35.136	19.97356	-155.07652	8100
AB0DC5	2019/07/12 02:03:36.176	19.97380	-155.07746	8100
AB0DC5	2019/07/12 02:03:37.216	19.97408	-155.07841	8100
AB0DC5	2019/07/12 02:03:38.137	19.97431	-155.07936	8100
AB0DC5	2019/07/12 02:03:40.057	19.97479	-155.08119	8100
AB0DC5	2019/07/12 02:03:41.113	19.97502	-155.08217	8100
AB0DC5	2019/07/12 02:03:42.177	19.97533	-155.08326	8200
AB0DC5	2019/07/12 02:03:43.090	19.97552	-155.08409	8200
AB0DC5	2019/07/12 02:03:44.050	19.97580	-155.08507	8200
AB0DC5	2019/07/12 02:03:45.066	19.97603	-155.08605	8200
AB0DC5	2019/07/12 02:03:45.986	19.97626	-155.08690	8200
AB0DC5	2019/07/12 02:03:46.842	19.97649	-155.08781	8200
AB0DC5	2019/07/12 02:03:47.914	19.97672	-155.08880	8200
AB0DC5	2019/07/12 02:03:48.778	19.97696	-155.08965	8200
AB0DC5	2019/07/12 02:03:49.883	19.97726	-155.09071	8200
AB0DC5	2019/07/12 02:03:50.803	19.97747	-155.09160	8200
AB0DC5	2019/07/12 02:03:51.883	19.97777	-155.09267	8300
AB0DC5	2019/07/12 02:03:53.011	19.97803	-155.09374	8300
AB0DC5	2019/07/12 02:03:54.131	19.97832	-155.09483	8300
AB0DC5	2019/07/12 02:03:55.243	19.97864	-155.09596	8300
AB0DC5	2019/07/12 02:03:56.148	19.97887	-155.09684	8400
AB0DC5	2019/07/12 02:03:57.092	19.97910	-155.09772	8400
AB0DC5	2019/07/12 02:03:58.932	19.97955	-155.09944	8400
AB0DC5	2019/07/12 02:03:59.868	19.97978	-155.10042	8400
AB0DC5	2019/07/12 02:04:00.772	19.98003	-155.10129	8400
AB0DC5	2019/07/12 02:04:01.757	19.98027	-155.10223	8500
AB0DC5	2019/07/12 02:04:07.901	19.98180	-155.10817	8500
AB0DC5	2019/07/12 02:04:08.854	19.98203	-155.10915	8600
AB0DC5	2019/07/12 02:04:09.958	19.98232	-155.11022	8600
AB0DC5	2019/07/12 02:04:10.790	19.98250	-155.11097	8600
AB0DC5	2019/07/12 02:04:13.967	19.98329	-155.11412	8600
AB0DC5	2019/07/12 02:04:14.887	19.98354	-155.11499	8600
AB0DC5	2019/07/12 02:04:15.823	19.98376	-155.11587	8600
AB0DC5	2019/07/12 02:04:16.823	19.98399	-155.11687	8700
AB0DC5	2019/07/12 02:04:17.791	19.98427	-155.11786	8700
AB0DC5	2019/07/12 02:04:18.767	19.98450	-155.11886	8700
AB0DC5	2019/07/12 02:04:19.703	19.98473	-155.11974	8700
AB0DC5	2019/07/12 02:04:20.200	19.98488	-155.12021	8700
AB0DC5	2019/07/12 02:04:20.648	19.98497	-155.12061	8700
AB0DC5	2019/07/12 02:04:21.648	19.98520	-155.12161	8700
AB0DC5	2019/07/12 02:04:22.624	19.98548	-155.12261	8700
AB0DC5	2019/07/12 02:04:23.592	19.98571	-155.12361	8700
AB0DC5	2019/07/12 02:04:33.474	19.98825	-155.13348	8900
AB0DC5	2019/07/12 02:04:40.803	19.99014	-155.14079	9000
AB0DC5	2019/07/12 02:04:41.859	19.99037	-155.14178	9000
AB0DC5	2019/07/12 02:04:42.931	19.99063	-155.14289	9000
AB0DC5	2019/07/12 02:04:43.987	19.99093	-155.14398	9000
AB0DC5	2019/07/12 02:04:44.996	19.99121	-155.14498	9000
AB0DC5	2019/07/12 02:04:45.989	19.99144	-155.14598	9100
AB0DC5	2019/07/12 02:04:46.996	19.99172	-155.14698	9100
AB0DC5	2019/07/12 02:04:47.972	19.99195	-155.14798	9100
AB0DC5	2019/07/12 02:04:49.076	19.99223	-155.14907	9100
AB0DC5	2019/07/12 02:04:49.964	19.99246	-155.14997	9100
AB0DC5	2019/07/12 02:04:50.893	19.99269	-155.15084	9100
AB0DC5	2019/07/12 02:04:51.877	19.99297	-155.15187	9200
AB0DC5	2019/07/12 02:04:52.877	19.99324	-155.15285	9200
AB0DC5	2019/07/12 02:04:53.829	19.99349	-155.15377	9200
AB0DC5	2019/07/12 02:04:54.781	19.99372	-155.15472	9200
AB0DC5	2019/07/12 02:04:55.701	19.99397	-155.15565	9200
AB0DC5	2019/07/12 02:04:56.669	19.99420	-155.15663	9300
AB0DC5	2019/07/12 02:04:57.758	19.99448	-155.15761	9300
AB0DC5	2019/07/12 02:04:58.662	19.99470	-155.15846	9300
AB0DC5	2019/07/12 02:04:59.774	19.99502	-155.15966	9300
AB0DC5	2019/07/12 02:05:00.750	19.99525	-155.16055	9300
AB0DC5	2019/07/12 02:05:01.814	19.99554	-155.16161	9400
AB0DC5	2019/07/12 02:05:02.935	19.99580	-155.16271	9400
AB0DC5	2019/07/12 02:05:03.991	19.99609	-155.16381	9400
AB0DC5	2019/07/12 02:05:05.167	19.99640	-155.16487	9400
AB0DC5	2019/07/12 02:05:06.343	19.99667	-155.16604	9400
AB0DC5	2019/07/12 02:05:07.343	19.99695	-155.16702	9500
AB0DC5	2019/07/12 02:05:08.367	19.99722	-155.16800	9500
AB0DC5	2019/07/12 02:05:09.464	19.99749	-155.16910	9500
AB0DC5	2019/07/12 02:05:10.416	19.99777	-155.17005	9500
AB0DC5	2019/07/12 02:05:11.264	19.99796	-155.17085	9500
AB0DC5	2019/07/12 02:05:11.752	19.99809	-155.17134	9500
AB0DC5	2019/07/12 02:05:12.328	19.99823	-155.17193	9500
AB0DC5	2019/07/12 02:05:13.360	19.99850	-155.17291	9500
AB0DC5	2019/07/12 02:05:14.280	19.99878	-155.17389	9500
AB0DC5	2019/07/12 02:05:15.265	19.99898	-155.17479	9600
